Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
United States,2020,1,2020-01-04,60191,55026,845,11568,1828,2531,1560,3503,1066,1095,646,14207,3110,0,0,,,,,,,,,,,,,,,
United States,2020,2,2020-01-11,60743,55759,862,11961,1943,2565,1529,3709,1036,1092,657,13912,3187,2,2,,,,,,,,,,,,,,,
United States,2020,3,2020-01-18,59356,54521,830,11704,1819,2489,1485,3525,992,1122,627,13590,3258,3,2,,,,,,,,,,,,,,,
United States,2020,4,2020-01-25,59156,54392,830,11881,1861,2515,1488,3400,978,1109,657,13605,3184,2,1,,,,,,,,,,,,,,,
United States,2020,5,2020-02-01,58823,53996,813,11960,1826,2477,1416,3313,980,1073,631,13463,3084,0,0,,,,,,,,,,,,,,,
United States,2020,6,2020-02-08,59468,54402,809,11707,1956,2513,1464,3413,974,1136,611,13999,3056,3,2,,,,,,,,,,,,,,,
United States,2020,7,2020-02-15,58802,53960,795,11812,1843,2535,1515,3478,978,1070,629,13638,3086,0,0,,,,,,,,,,,,,,,
United States,2020,8,2020-02-22,58899,53978,782,11782,1880,2515,1463,3453,968,1057,620,13627,3083,6,5,,,,,,,,,,,,,,,
United States,2020,9,2020-02-29,59333,54317,820,11791,1830,2519,1506,3458,1010,1092,694,13713,3126,9,9,,,,,,,,,,,,,,,
United States,2020,10,2020-03-07,59687,54383,815,11710,1861,2508,1609,3468,1005,1072,672,13686,3097,37,33,,,,,,,,,,,,,,,
United States,2020,11,2020-03-14,58666,53525,758,11573,1743,2441,1639,3390,994,1077,657,13439,3164,58,54,,,,,,,,,,,,,,,
United States,2020,12,2020-03-21,59214,54304,843,11736,1832,2511,1748,3382,1021,1105,641,13194,3068,580,543,,,,,,,,,,,,,,,
United States,2020,13,2020-03-28,63040,58252,853,11784,2047,2746,1793,3519,1065,1029,653,13720,3064,3196,3018,,,,,,,,,,,,,,,
United States,2020,14,2020-04-04,72294,67446,953,11597,2300,2867,1860,3537,1031,1037,718,14954,3165,10104,9609,,,,,,,,,,,,,,,
United States,2020,15,2020-04-11,79106,74016,837,11552,2355,2960,1633,3442,1022,1121,693,15770,3192,16279,15473,,,,,,,,,,,,,,,
United States,2020,16,2020-04-18,76799,71892,750,11207,2270,2900,1251,3191,918,1098,689,14580,3204,17158,16258,,,,,,,,,,,,,,,
United States,2020,17,2020-04-25,73901,68742,739,11362,2085,2802,1150,2996,891,987,706,13870,3059,15520,14627,,,,,,,,,,,,,,,
United States,2020,18,2020-05-02,69291,63927,742,11098,1932,2725,1014,2927,852,962,574,13004,3042,13204,12421,,,,,,,,,,,,,,,
United States,2020,19,2020-05-09,66810,61186,721,11017,1967,2494,866,2805,859,938,635,13166,2853,11222,10447,,,,,,,,,,,,,,,
United States,2020,20,2020-05-16,64468,58993,682,11268,1967,2430,864,2770,788,978,596,12740,2961,9213,8471,,,,,,,,,,,,,,,
United States,2020,21,2020-05-23,61622,56017,716,11117,1834,2417,809,2677,749,921,606,12776,2826,7232,6576,,,,,,,,,,,,,,,
United States,2020,22,2020-05-30,59681,54009,655,10904,1813,2260,756,2634,762,892,612,12462,2855,6164,5580,,,,,,,,,,,,,,,
United States,2020,23,2020-06-06,58891,52938,733,11081,1724,2304,704,2563,779,905,593,12465,2791,5045,4507,,,,,,,,,,,,,,,
United States,2020,24,2020-06-13,58017,52292,692,11131,1739,2327,700,2501,737,925,623,12408,2840,4227,3726,,,,,,,,,,,,,,,
United States,2020,25,2020-06-20,57994,52222,685,11155,1790,2360,756,2565,761,931,647,12407,2925,3837,3347,,,,,,,,,,,,,,,
United States,2020,26,2020-06-27,58494,52655,720,11358,1767,2287,726,2537,776,954,612,12515,2960,3832,3323,,,,,,,,,,,,,,,
United States,2020,27,2020-07-04,59812,53809,686,11298,1931,2360,658,2623,780,987,636,12866,2833,4534,4037,,,,,,,,,,,,,,,
United States,2020,28,2020-07-11,61922,55847,766,11327,1954,2469,741,2613,751,918,710,13018,2920,5773,5228,,,,,,,,,,,,,,,
United States,2020,29,2020-07-18,63159,57154,711,11375,1887,2499,769,2645,712,986,717,12863,2983,7182,6519,,,,,,,,,,,,,,,
United States,2020,30,2020-07-25,64250,58411,690,11556,1954,2508,783,2560,733,969,719,12940,2912,8224,7508,,,,,,,,,,,,,,,
